iter	RMSE
159	0.371088243
160	0.3707174413
161	0.3704545311
162	0.3702072
163	0.3698961953
164	0.3696697565
165	0.3694514478
166	0.3691481617
167	0.3688723767
168	0.3686827623
169	0.3685163094
170	0.3681616991
171	0.3679685717
172	0.3679030226
173	0.3677369588
174	0.3675693024
175	0.3674874705
176	0.3671932099
177	0.3670530379
178	0.366845566
179	0.3666073226
180	0.3664486394
181	0.3662509682
182	0.3661133304
183	0.3659024513
184	0.3657452232
185	0.3656110551
186	0.3653412636
187	0.3651735113
188	0.3648163034
189	0.3646114174
190	0.364384753
191	0.3641512933
192	0.3639491261
193	0.3638547749
194	0.3636371265
195	0.3635199676
196	0.3634043262
197	0.3632632019
198	0.363142987
199	0.3628851649
200	0.3626179749
201	0.3624552421
202	0.3623269164
203	0.3622543557
204	0.3620873712
205	0.361934233
206	0.361834137
207	0.3616372513
208	0.3614547989
209	0.3612434342
210	0.3610858856
211	0.3609681905
212	0.3608221117
213	0.3607421365
214	0.3606319054
215	0.3604946433
216	0.3604104445
217	0.3601932044
218	0.3600154711
219	0.3598972248
220	0.3597018061
221	0.3596373465
222	0.3594813447
223	0.3593541027
224	0.3592754679
225	0.3591728483
226	0.3589816614
227	0.3588426627
228	0.3586163888
229	0.3584758302
230	0.35832316
231	0.358202954
232	0.3579248183
233	0.3578327475
234	0.357713275
235	0.3574900881
236	0.3573526439
237	0.3570846789
238	0.3569307195
239	0.3567445788
240	0.3565856945
241	0.3564688375
242	0.3563964957
243	0.3563245191
244	0.3562036084
245	0.3561382577
246	0.35593569
247	0.3557916685
248	0.3557005823
249	0.3556471772
250	0.3555434075
251	0.3553792471
252	0.3552093007
253	0.35506149
254	0.3549191237
255	0.354828573
256	0.3547858813
257	0.3546876254
258	0.3546123559
259	0.3544957844
260	0.3543553674
261	0.3543041523
262	0.3541752064
263	0.354022758
264	0.3539738936
265	0.3537226811
266	0.3536644801
267	0.3534933044
268	0.3534132048
269	0.3531815331
270	0.3530553362
271	0.3529085618
272	0.3527120409
273	0.3526179662
274	0.35249088
275	0.3523182324
276	0.3521587342
277	0.3520186223
278	0.3518966559
279	0.3518121765
280	0.3517187134
281	0.3515950346
282	0.3514608911
283	0.3513236485
284	0.351208739
285	0.3511251772
286	0.3510080628
287	0.3509092947
288	0.3508638407
289	0.3507756737
290	0.3505025069
291	0.3504168591
292	0.3503394215
293	0.3502275029
294	0.3500602482
295	0.349954999
296	0.349902629
297	0.3497857465
298	0.349698834
299	0.3496404156
300	0.3495612394
301	0.3495029554
302	0.3493982077
303	0.3492618996
304	0.3491779308
305	0.3490961287
306	0.3489917337
307	0.3488318033
308	0.3487731907
309	0.3486552987
310	0.348563735
311	0.3483797498
312	0.3483006937
313	0.3482306502
314	0.3481053748
315	0.348011591
316	0.3479329086
317	0.3478307629
318	0.3477287166
319	0.3476175214
320	0.3475066322
321	0.347425546
322	0.3473337776
323	0.3471465655
324	0.3470193964
325	0.3469292514
326	0.3467084683
327	0.3466327576
328	0.346514529
329	0.3464356637
330	0.3463124347
331	0.3462266985
332	0.3461827191
333	0.3461340639
334	0.3460683808
335	0.3459495424
336	0.3458658639
337	0.3457765131
338	0.3456997623
339	0.345647896
340	0.3455357781
341	0.3453502426
342	0.3452475624
343	0.3451514939
344	0.3450381437
345	0.3449949143
346	0.3448865295
347	0.3447780471
348	0.3446044708
349	0.344529875
350	0.3443932645
351	0.3442819961
352	0.3441872813
353	0.3441087942
354	0.3440151021
355	0.3438428951
356	0.3437186908
357	0.3436835345
358	0.343590484
359	0.3435100609
360	0.3434787275
361	0.3433818441
362	0.3433288499
363	0.3431950319
364	0.3431413619
365	0.3430966885
366	0.3430202797
367	0.3429812273
368	0.3428988354
369	0.3428168546
370	0.3427314874
371	0.3426766821
372	0.3425906403
373	0.3424784807
374	0.3423420383
375	0.3422841378
376	0.342185886
377	0.3420876512
378	0.3419846025
379	0.3418995714
380	0.3417396542
381	0.3416612335
382	0.3415800542
383	0.341496029
384	0.3414187461
385	0.3413136951
386	0.3412081786
387	0.3410633408
388	0.3410100008
389	0.3409114327
390	0.340803785
391	0.3406821773
392	0.3406532487
393	0.3404425491
394	0.34039182
395	0.3402697834
396	0.3401859279
397	0.3400641394
398	0.3400238802
399	0.3399522003
400	0.3398466226
401	0.3397491028
402	0.3396840866
403	0.339612589
404	0.3395026386
405	0.3394177803
406	0.3393189751
407	0.3391985064
408	0.3390644289
409	0.3389311969
410	0.3388383198
411	0.3387460936
412	0.3387035358
413	0.3386477391
414	0.3385710031
415	0.3384559834
416	0.3383865637
417	0.3383557985
418	0.3383032943
419	0.3382349776
420	0.3381758053
421	0.3380972729
422	0.3380475586
423	0.3379761384
424	0.3378942772
425	0.3378094491
426	0.3376787857
427	0.3376225829
428	0.3375280433
429	0.337446509
430	0.3373835606
431	0.3373504431
432	0.3373127434
433	0.3372805823
434	0.3372153776
435	0.3371118275
436	0.3370139348
437	0.3368799747
438	0.3366595734
439	0.3366095252
440	0.3365532432
441	0.3364927449
442	0.3363834697
443	0.3362309717
444	0.3361810735
445	0.3361048341
446	0.3360038698
447	0.3359252869
448	0.3358689196
449	0.335795724
450	0.3357013799
451	0.3356598504
452	0.3355791487
453	0.3354607889
454	0.3353978131
455	0.3353333025
456	0.3352056839
457	0.3351639375
458	0.3351007596
459	0.3350542834
460	0.335001412
461	0.3349149319
462	0.3348615177
463	0.3348128301
464	0.3347466808
465	0.3347011264
466	0.3346449117
467	0.334568295
468	0.3344947048
469	0.334450438
470	0.334366765
471	0.3342434749
472	0.3341431824
473	0.3341034759
474	0.3340758546
475	0.3340071373
476	0.3339061963
477	0.3337768512
478	0.333695678
479	0.3336312635
480	0.3335661032
481	0.3334405916
482	0.3333594519
483	0.3333120779
484	0.3332619952
485	0.3331876053
486	0.3331456556
487	0.3330482322
488	0.3329890005
489	0.3329177495
490	0.3327808973
491	0.3327173493
492	0.3326627942
493	0.3325990478
494	0.3325385023
495	0.3324823522
496	0.3323981417
497	0.3323354186
498	0.3322161162
499	0.3321196593
