iter	Passed	Remaining
399	50620	12655
400	50747	12528
401	50865	12399
402	50976	12269
403	51114	12146
404	51234	12018
405	51365	11892
406	51507	11769
407	51643	11645
408	51776	11519
409	51902	11393
410	52012	11263
411	52180	11145
412	52304	11018
413	52408	10886
414	52531	10759
415	52666	10634
416	52777	10504
417	52872	10372
418	52995	10244
419	53129	10119
420	53277	9997
421	53413	9872
422	53524	9743
423	53673	9620
424	53820	9497
425	53957	9372
426	54114	9251
427	54239	9124
428	54362	8997
429	54486	8869
430	54588	8739
431	54719	8613
432	54847	8486
433	54985	8361
434	55115	8235
435	55246	8109
436	55362	7981
437	55519	7858
438	55645	7732
439	55784	7606
440	55896	7478
441	56022	7351
442	56160	7226
443	56335	7105
444	56491	6982
445	56640	6857
446	56772	6731
447	56890	6603
448	57009	6475
449	57135	6348
450	57268	6222
451	57395	6095
452	57562	5972
453	57680	5844
454	57811	5717
455	57927	5589
456	58057	5462
457	58176	5334
458	58305	5208
459	58434	5081
460	58549	4953
461	58681	4826
462	58791	4698
463	58922	4571
464	59031	4443
465	59142	4315
466	59279	4188
467	59427	4063
468	59564	3937
469	59690	3810
470	59803	3682
471	59923	3554
472	60049	3427
473	60172	3300
474	60274	3172
475	60369	3043
476	60476	2916
477	60592	2788
478	60705	2661
479	60827	2534
480	60939	2407
481	61064	2280
482	61186	2153
483	61305	2026
484	61445	1900
485	61527	1772
486	61656	1645
487	61787	1519
488	61897	1392
489	62034	1266
490	62150	1139
491	62254	1012
492	62410	886
493	62533	759
494	62672	633
495	62784	506
496	62896	379
497	63015	253
498	63144	126
499	63262	0
